time_step,method,task_id,position,urgency,duration
20,Greedy,D10,"(0, 1)",14,22.0
20,Greedy,D11,"(81, 26)",13,27.0
20,Greedy,D12,"(66, 27)",10,27.0
20,Greedy,D13,"(51, 92)",7,21.0
20,Auction,T3,"(25, 80)",21,30.0
20,Auction,D3,"(71, 63)",19,18.0
20,Auction,D4,"(2, 50)",18,25.0
20,Auction,D5,"(62, 32)",21,29.0
20,Auction,D7,"(6, 32)",13,23.0
20,Auction,D8,"(15, 52)",12,26.0
20,Auction,D9,"(20, 72)",15,17.0
20,Auction,D10,"(0, 1)",14,22.0
20,Auction,D11,"(81, 26)",13,27.0
20,Auction,D12,"(66, 27)",10,27.0
20,Auction,D13,"(51, 92)",7,21.0
20,Q-Learning,T3,"(25, 80)",21,30.0
20,Q-Learning,D3,"(71, 63)",19,18.0
20,Q-Learning,D4,"(2, 50)",18,25.0
20,Q-Learning,D6,"(78, 53)",18,14.0
20,Q-Learning,D7,"(6, 32)",13,23.0
20,Q-Learning,D8,"(15, 52)",12,26.0
20,Q-Learning,D9,"(20, 72)",15,17.0
20,Q-Learning,D10,"(0, 1)",14,22.0
20,Q-Learning,D11,"(81, 26)",13,27.0
20,Q-Learning,D12,"(66, 27)",10,27.0
20,Q-Learning,D13,"(51, 92)",7,21.0
21,Greedy,T10,"(78, 47)",22,28.0
21,Greedy,D3,"(71, 63)",20,18.0
21,Greedy,D4,"(2, 50)",19,25.0
21,Greedy,D5,"(62, 32)",22,29.0
21,Greedy,D6,"(78, 53)",19,14.0
21,Greedy,D7,"(6, 32)",14,23.0
21,Greedy,D8,"(15, 52)",13,26.0
21,Greedy,D9,"(20, 72)",16,17.0
21,Greedy,D10,"(0, 1)",15,22.0
21,Greedy,D11,"(81, 26)",14,27.0
21,Greedy,D12,"(66, 27)",11,27.0
21,Greedy,D13,"(51, 92)",8,21.0
21,Auction,T3,"(25, 80)",22,30.0
21,Auction,D3,"(71, 63)",20,18.0
21,Auction,D4,"(2, 50)",19,25.0
21,Auction,D5,"(62, 32)",22,29.0
21,Auction,D7,"(6, 32)",14,23.0
21,Auction,D8,"(15, 52)",13,26.0
21,Auction,D9,"(20, 72)",16,17.0
21,Auction,D10,"(0, 1)",15,22.0
21,Auction,D11,"(81, 26)",14,27.0
21,Auction,D12,"(66, 27)",11,27.0
21,Auction,D13,"(51, 92)",8,21.0
21,Q-Learning,T3,"(25, 80)",22,30.0
21,Q-Learning,D3,"(71, 63)",20,18.0
21,Q-Learning,D4,"(2, 50)",19,25.0
21,Q-Learning,D6,"(78, 53)",19,14.0
21,Q-Learning,D7,"(6, 32)",14,23.0
21,Q-Learning,D8,"(15, 52)",13,26.0
21,Q-Learning,D9,"(20, 72)",16,17.0
21,Q-Learning,D10,"(0, 1)",15,22.0
21,Q-Learning,D11,"(81, 26)",14,27.0
21,Q-Learning,D12,"(66, 27)",11,27.0
21,Q-Learning,D13,"(51, 92)",8,21.0
22,Greedy,D3,"(71, 63)",21,18.0
22,Greedy,D4,"(2, 50)",20,25.0
22,Greedy,D6,"(78, 53)",20,14.0
22,Greedy,D7,"(6, 32)",15,23.0
22,Greedy,D8,"(15, 52)",14,26.0
22,Greedy,D9,"(20, 72)",17,17.0
22,Greedy,D10,"(0, 1)",16,22.0
22,Greedy,D11,"(81, 26)",15,27.0
22,Greedy,D12,"(66, 27)",12,27.0
22,Greedy,D13,"(51, 92)",9,21.0
22,Greedy,D14,"(79, 18)",4,18.0
22,Auction,D3,"(71, 63)",21,18.0
22,Auction,D4,"(2, 50)",20,25.0
22,Auction,D5,"(62, 32)",23,29.0
22,Auction,D7,"(6, 32)",15,23.0
22,Auction,D8,"(15, 52)",14,26.0
22,Auction,D9,"(20, 72)",17,17.0
22,Auction,D11,"(81, 26)",15,27.0
22,Auction,D12,"(66, 27)",12,27.0
22,Auction,D13,"(51, 92)",9,21.0
22,Auction,D14,"(79, 18)",4,18.0
22,Q-Learning,D3,"(71, 63)",21,18.0
22,Q-Learning,D4,"(2, 50)",20,25.0
22,Q-Learning,D6,"(78, 53)",20,14.0
22,Q-Learning,D7,"(6, 32)",15,23.0
22,Q-Learning,D8,"(15, 52)",14,26.0
22,Q-Learning,D9,"(20, 72)",17,17.0
22,Q-Learning,D10,"(0, 1)",16,22.0
22,Q-Learning,D11,"(81, 26)",15,27.0
22,Q-Learning,D12,"(66, 27)",12,27.0
22,Q-Learning,D13,"(51, 92)",9,21.0
22,Q-Learning,D14,"(79, 18)",4,18.0
23,Greedy,D4,"(2, 50)",21,25.0
23,Greedy,D6,"(78, 53)",21,14.0
23,Greedy,D7,"(6, 32)",16,23.0
23,Greedy,D8,"(15, 52)",15,26.0
23,Greedy,D9,"(20, 72)",18,17.0
23,Greedy,D10,"(0, 1)",17,22.0
23,Greedy,D11,"(81, 26)",16,27.0
23,Greedy,D12,"(66, 27)",13,27.0
23,Greedy,D13,"(51, 92)",10,21.0
23,Greedy,D14,"(79, 18)",5,18.0
23,Greedy,D15,"(77, 73)",6,10.0
23,Auction,D4,"(2, 50)",21,25.0
23,Auction,D5,"(62, 32)",24,29.0
23,Auction,D7,"(6, 32)",16,23.0
23,Auction,D8,"(15, 52)",15,26.0
23,Auction,D9,"(20, 72)",18,17.0
23,Auction,D11,"(81, 26)",16,27.0
23,Auction,D12,"(66, 27)",13,27.0
23,Auction,D13,"(51, 92)",10,21.0
23,Auction,D14,"(79, 18)",5,18.0
23,Auction,D15,"(77, 73)",6,10.0
23,Q-Learning,D3,"(71, 63)",22,18.0
23,Q-Learning,D4,"(2, 50)",21,25.0
23,Q-Learning,D6,"(78, 53)",21,14.0
23,Q-Learning,D7,"(6, 32)",16,23.0
23,Q-Learning,D9,"(20, 72)",18,17.0
23,Q-Learning,D10,"(0, 1)",17,22.0
23,Q-Learning,D11,"(81, 26)",16,27.0
23,Q-Learning,D12,"(66, 27)",13,27.0
23,Q-Learning,D13,"(51, 92)",10,21.0
23,Q-Learning,D14,"(79, 18)",5,18.0
23,Q-Learning,D15,"(77, 73)",6,10.0
24,Greedy,D6,"(78, 53)",22,14.0
24,Greedy,D7,"(6, 32)",17,23.0
24,Greedy,D8,"(15, 52)",16,26.0
24,Greedy,D9,"(20, 72)",19,17.0
24,Greedy,D10,"(0, 1)",18,22.0
24,Greedy,D11,"(81, 26)",17,27.0
24,Greedy,D12,"(66, 27)",14,27.0
24,Greedy,D13,"(51, 92)",11,21.0
24,Greedy,D14,"(79, 18)",6,18.0
24,Greedy,D15,"(77, 73)",7,10.0
24,Auction,D4,"(2, 50)",22,25.0
24,Auction,D7,"(6, 32)",17,23.0
24,Auction,D8,"(15, 52)",16,26.0
24,Auction,D9,"(20, 72)",19,17.0
24,Auction,D11,"(81, 26)",17,27.0
24,Auction,D12,"(66, 27)",14,27.0
24,Auction,D13,"(51, 92)",11,21.0
24,Auction,D14,"(79, 18)",6,18.0
24,Auction,D15,"(77, 73)",7,10.0
24,Q-Learning,D3,"(71, 63)",23,18.0
24,Q-Learning,D4,"(2, 50)",22,25.0
24,Q-Learning,D6,"(78, 53)",22,14.0
24,Q-Learning,D7,"(6, 32)",17,23.0
24,Q-Learning,D9,"(20, 72)",19,17.0
24,Q-Learning,D10,"(0, 1)",18,22.0
24,Q-Learning,D11,"(81, 26)",17,27.0
24,Q-Learning,D13,"(51, 92)",11,21.0
24,Q-Learning,D14,"(79, 18)",6,18.0
24,Q-Learning,D15,"(77, 73)",7,10.0
25,Greedy,D7,"(6, 32)",18,23.0
25,Greedy,D8,"(15, 52)",17,26.0
25,Greedy,D9,"(20, 72)",20,17.0
25,Greedy,D10,"(0, 1)",19,22.0
25,Greedy,D11,"(81, 26)",18,27.0
25,Greedy,D12,"(66, 27)",15,27.0
25,Greedy,D13,"(51, 92)",12,21.0
25,Greedy,D14,"(79, 18)",7,18.0
25,Greedy,D15,"(77, 73)",8,10.0
25,Auction,D4,"(2, 50)",23,25.0
25,Auction,D7,"(6, 32)",18,23.0
25,Auction,D8,"(15, 52)",17,26.0
25,Auction,D9,"(20, 72)",20,17.0
25,Auction,D11,"(81, 26)",18,27.0
25,Auction,D12,"(66, 27)",15,27.0
25,Auction,D13,"(51, 92)",12,21.0
25,Auction,D14,"(79, 18)",7,18.0
25,Auction,D15,"(77, 73)",8,10.0
25,Q-Learning,D3,"(71, 63)",24,18.0
25,Q-Learning,D4,"(2, 50)",23,25.0
25,Q-Learning,D6,"(78, 53)",23,14.0
25,Q-Learning,D7,"(6, 32)",18,23.0
25,Q-Learning,D9,"(20, 72)",20,17.0
25,Q-Learning,D10,"(0, 1)",19,22.0
25,Q-Learning,D11,"(81, 26)",18,27.0
25,Q-Learning,D13,"(51, 92)",12,21.0
25,Q-Learning,D14,"(79, 18)",7,18.0
25,Q-Learning,D15,"(77, 73)",8,10.0
26,Greedy,D7,"(6, 32)",19,23.0
26,Greedy,D8,"(15, 52)",18,26.0
26,Greedy,D9,"(20, 72)",21,17.0
26,Greedy,D10,"(0, 1)",20,22.0
26,Greedy,D11,"(81, 26)",19,27.0
26,Greedy,D12,"(66, 27)",16,27.0
26,Greedy,D13,"(51, 92)",13,21.0
26,Greedy,D14,"(79, 18)",8,18.0
26,Greedy,D15,"(77, 73)",9,10.0
