time_step,method,task_id,position,urgency,duration
72,Greedy,E17,"(92, 80)",49,22.0
72,Greedy,E18,"(1, 27)",43,15.0
72,Greedy,E19,"(41, 18)",46,24.0
72,Greedy,E22,"(39, 92)",37,29.0
72,Greedy,E23,"(12, 20)",35,15.0
72,Greedy,E24,"(78, 42)",37,25.0
72,Greedy,E25,"(33, 41)",28,17.0
72,Greedy,E26,"(73, 66)",24,12.0
72,Greedy,E27,"(0, 68)",32,24.0
72,Greedy,E28,"(61, 14)",19,10.0
72,Greedy,E29,"(73, 21)",24,18.0
72,Greedy,E30,"(95, 1)",19,18.0
72,Greedy,E31,"(7, 23)",11,13.0
72,Greedy,E32,"(44, 26)",13,19.0
72,Greedy,E33,"(89, 55)",12,28.0
72,Greedy,E34,"(94, 21)",9,26.0
72,Greedy,E35,"(23, 49)",6,18.0
72,Greedy,E36,"(53, 60)",4,15.0
72,Greedy,E37,"(41, 43)",3,24.0
72,Auction,E17,"(92, 80)",49,22.0
72,Auction,E18,"(1, 27)",43,15.0
72,Auction,E19,"(41, 18)",46,24.0
72,Auction,E22,"(39, 92)",37,29.0
72,Auction,E23,"(12, 20)",35,15.0
72,Auction,E24,"(78, 42)",37,25.0
72,Auction,E25,"(33, 41)",28,17.0
72,Auction,E26,"(73, 66)",24,12.0
72,Auction,E27,"(0, 68)",32,24.0
72,Auction,E28,"(61, 14)",19,10.0
72,Auction,E29,"(73, 21)",24,18.0
72,Auction,E30,"(95, 1)",19,18.0
72,Auction,E31,"(7, 23)",11,13.0
72,Auction,E32,"(44, 26)",13,19.0
72,Auction,E33,"(89, 55)",12,28.0
72,Auction,E34,"(94, 21)",9,26.0
72,Auction,E35,"(23, 49)",6,18.0
72,Auction,E36,"(53, 60)",4,15.0
72,Auction,E37,"(41, 43)",3,24.0
72,Q-Learning,E14,"(46, 39)",55,27.0
72,Q-Learning,E17,"(92, 80)",49,22.0
72,Q-Learning,E18,"(1, 27)",43,15.0
72,Q-Learning,E19,"(41, 18)",46,24.0
72,Q-Learning,E20,"(29, 80)",45,13.0
72,Q-Learning,E22,"(39, 92)",37,29.0
72,Q-Learning,E23,"(12, 20)",35,15.0
72,Q-Learning,E25,"(33, 41)",28,17.0
72,Q-Learning,E26,"(73, 66)",24,12.0
72,Q-Learning,E27,"(0, 68)",32,24.0
72,Q-Learning,E28,"(61, 14)",19,10.0
72,Q-Learning,E29,"(73, 21)",24,18.0
72,Q-Learning,E30,"(95, 1)",19,18.0
72,Q-Learning,E31,"(7, 23)",11,13.0
72,Q-Learning,E32,"(44, 26)",13,19.0
72,Q-Learning,E33,"(89, 55)",12,28.0
72,Q-Learning,E34,"(94, 21)",9,26.0
72,Q-Learning,E35,"(23, 49)",6,18.0
72,Q-Learning,E36,"(53, 60)",4,15.0
72,Q-Learning,E37,"(41, 43)",3,24.0
73,Greedy,E16,"(25, 53)",49,19.0
73,Greedy,E17,"(92, 80)",50,22.0
73,Greedy,E18,"(1, 27)",44,15.0
73,Greedy,E19,"(41, 18)",47,24.0
73,Greedy,E22,"(39, 92)",38,29.0
73,Greedy,E23,"(12, 20)",36,15.0
73,Greedy,E24,"(78, 42)",38,25.0
73,Greedy,E25,"(33, 41)",29,17.0
73,Greedy,E26,"(73, 66)",25,12.0
73,Greedy,E27,"(0, 68)",33,24.0
73,Greedy,E28,"(61, 14)",20,10.0
73,Greedy,E29,"(73, 21)",25,18.0
73,Greedy,E30,"(95, 1)",20,18.0
73,Greedy,E31,"(7, 23)",12,13.0
73,Greedy,E32,"(44, 26)",14,19.0
73,Greedy,E33,"(89, 55)",13,28.0
73,Greedy,E34,"(94, 21)",10,26.0
73,Greedy,E35,"(23, 49)",7,18.0
73,Greedy,E36,"(53, 60)",5,15.0
73,Greedy,E37,"(41, 43)",4,24.0
73,Auction,E17,"(92, 80)",50,22.0
73,Auction,E18,"(1, 27)",44,15.0
73,Auction,E19,"(41, 18)",47,24.0
73,Auction,E22,"(39, 92)",38,29.0
73,Auction,E23,"(12, 20)",36,15.0
73,Auction,E24,"(78, 42)",38,25.0
73,Auction,E25,"(33, 41)",29,17.0
73,Auction,E26,"(73, 66)",25,12.0
73,Auction,E27,"(0, 68)",33,24.0
73,Auction,E28,"(61, 14)",20,10.0
73,Auction,E29,"(73, 21)",25,18.0
73,Auction,E30,"(95, 1)",20,18.0
73,Auction,E31,"(7, 23)",12,13.0
73,Auction,E32,"(44, 26)",14,19.0
73,Auction,E33,"(89, 55)",13,28.0
73,Auction,E34,"(94, 21)",10,26.0
73,Auction,E35,"(23, 49)",7,18.0
73,Auction,E36,"(53, 60)",5,15.0
73,Auction,E37,"(41, 43)",4,24.0
73,Q-Learning,E14,"(46, 39)",56,27.0
73,Q-Learning,E17,"(92, 80)",50,22.0
73,Q-Learning,E18,"(1, 27)",44,15.0
73,Q-Learning,E19,"(41, 18)",47,24.0
73,Q-Learning,E20,"(29, 80)",46,13.0
73,Q-Learning,E22,"(39, 92)",38,29.0
73,Q-Learning,E23,"(12, 20)",36,15.0
73,Q-Learning,E25,"(33, 41)",29,17.0
73,Q-Learning,E26,"(73, 66)",25,12.0
73,Q-Learning,E27,"(0, 68)",33,24.0
73,Q-Learning,E28,"(61, 14)",20,10.0
73,Q-Learning,E29,"(73, 21)",25,18.0
73,Q-Learning,E30,"(95, 1)",20,18.0
73,Q-Learning,E31,"(7, 23)",12,13.0
73,Q-Learning,E32,"(44, 26)",14,19.0
73,Q-Learning,E33,"(89, 55)",13,28.0
73,Q-Learning,E34,"(94, 21)",10,26.0
73,Q-Learning,E35,"(23, 49)",7,18.0
73,Q-Learning,E36,"(53, 60)",5,15.0
73,Q-Learning,E37,"(41, 43)",4,24.0
74,Greedy,E16,"(25, 53)",50,19.0
74,Greedy,E17,"(92, 80)",51,22.0
74,Greedy,E18,"(1, 27)",45,15.0
74,Greedy,E19,"(41, 18)",48,24.0
74,Greedy,E22,"(39, 92)",39,29.0
74,Greedy,E23,"(12, 20)",37,15.0
74,Greedy,E24,"(78, 42)",39,25.0
74,Greedy,E25,"(33, 41)",30,17.0
74,Greedy,E26,"(73, 66)",26,12.0
74,Greedy,E27,"(0, 68)",34,24.0
74,Greedy,E28,"(61, 14)",21,10.0
74,Greedy,E29,"(73, 21)",26,18.0
74,Greedy,E30,"(95, 1)",21,18.0
74,Greedy,E31,"(7, 23)",13,13.0
74,Greedy,E32,"(44, 26)",15,19.0
74,Greedy,E33,"(89, 55)",14,28.0
74,Greedy,E34,"(94, 21)",11,26.0
74,Greedy,E35,"(23, 49)",8,18.0
74,Greedy,E36,"(53, 60)",6,15.0
74,Greedy,E37,"(41, 43)",5,24.0
74,Greedy,E38,"(14, 12)",9,12.0
74,Auction,E17,"(92, 80)",51,22.0
74,Auction,E18,"(1, 27)",45,15.0
74,Auction,E19,"(41, 18)",48,24.0
74,Auction,E22,"(39, 92)",39,29.0
74,Auction,E23,"(12, 20)",37,15.0
74,Auction,E24,"(78, 42)",39,25.0
74,Auction,E25,"(33, 41)",30,17.0
74,Auction,E26,"(73, 66)",26,12.0
74,Auction,E27,"(0, 68)",34,24.0
74,Auction,E28,"(61, 14)",21,10.0
74,Auction,E29,"(73, 21)",26,18.0
74,Auction,E30,"(95, 1)",21,18.0
74,Auction,E31,"(7, 23)",13,13.0
74,Auction,E32,"(44, 26)",15,19.0
74,Auction,E33,"(89, 55)",14,28.0
74,Auction,E34,"(94, 21)",11,26.0
74,Auction,E35,"(23, 49)",8,18.0
74,Auction,E36,"(53, 60)",6,15.0
74,Auction,E37,"(41, 43)",5,24.0
74,Q-Learning,E14,"(46, 39)",57,27.0
74,Q-Learning,E17,"(92, 80)",51,22.0
74,Q-Learning,E18,"(1, 27)",45,15.0
74,Q-Learning,E19,"(41, 18)",48,24.0
74,Q-Learning,E20,"(29, 80)",47,13.0
74,Q-Learning,E22,"(39, 92)",39,29.0
74,Q-Learning,E23,"(12, 20)",37,15.0
74,Q-Learning,E25,"(33, 41)",30,17.0
74,Q-Learning,E26,"(73, 66)",26,12.0
74,Q-Learning,E27,"(0, 68)",34,24.0
74,Q-Learning,E28,"(61, 14)",21,10.0
74,Q-Learning,E29,"(73, 21)",26,18.0
74,Q-Learning,E30,"(95, 1)",21,18.0
74,Q-Learning,E31,"(7, 23)",13,13.0
74,Q-Learning,E32,"(44, 26)",15,19.0
74,Q-Learning,E33,"(89, 55)",14,28.0
74,Q-Learning,E34,"(94, 21)",11,26.0
74,Q-Learning,E35,"(23, 49)",8,18.0
74,Q-Learning,E36,"(53, 60)",6,15.0
74,Q-Learning,E37,"(41, 43)",5,24.0
74,Q-Learning,E38,"(14, 12)",9,12.0
75,Greedy,E16,"(25, 53)",51,19.0
75,Greedy,E18,"(1, 27)",46,15.0
75,Greedy,E19,"(41, 18)",49,24.0
75,Greedy,E22,"(39, 92)",40,29.0
75,Greedy,E23,"(12, 20)",38,15.0
75,Greedy,E24,"(78, 42)",40,25.0
75,Greedy,E25,"(33, 41)",31,17.0
75,Greedy,E26,"(73, 66)",27,12.0
75,Greedy,E27,"(0, 68)",35,24.0
75,Greedy,E28,"(61, 14)",22,10.0
75,Greedy,E29,"(73, 21)",27,18.0
75,Greedy,E30,"(95, 1)",22,18.0
75,Greedy,E31,"(7, 23)",14,13.0
75,Greedy,E32,"(44, 26)",16,19.0
75,Greedy,E33,"(89, 55)",15,28.0
75,Greedy,E34,"(94, 21)",12,26.0
75,Greedy,E35,"(23, 49)",9,18.0
75,Greedy,E36,"(53, 60)",7,15.0
75,Greedy,E37,"(41, 43)",6,24.0
